ReserveAction	opentable.com,hoteltonight.com
BookmarkAction	pinboard.in
SearchAction	google.com,bing.com,urx.com,duckduckgo.com
BefriendAction	facebook.com
SellAction		etsy.com,ebay.com
SubscribeAction	nytimes.com,latimes.com
WatchAction		youtube.com,hulu.com,netflix.com
CookAction		yummly.com
InviteAction	eventbrite.com
DonateAction	redcross.org,worldwildlife.org
RentAction		zillow.com,redbox.com,trulia.com
EatAction		eat24hours.com
ReadAction		latimes.com,nytimes.com,medium.com,goodreads.com
CheckInAction	foursquare.com,aa.com,virginamerica.com
DepartAction	uber.com,aa.com,kayak.com
OrderAction		eat24hours.com,orderaheadapp.com
ShareAction		facebook.com,twitter.com,plus.google.com
SendAction		mail.google.com,mail.yahoo.com,mail.live.com
LikeAction		facebook.com
FollowAction	twitter.com,facebook.com
TrackAction		usps.com,ups.com,fedex.com
RsvpAction		eventbrite.com
BuyAction		livingsocial.com
InstallAction	play.google.com,itunes.apple.com
ListenAction	spotify.com,rdio.com,pandora.com,last.fm
